Transaction Type: Deposit, Account Number: 2, Amount: 100, Time: Tue Mar 21 15:29:02 2023

Transaction Type: Withdraw, Account Number: 2, Amount: 100, Time: Tue Mar 21 15:29:49 2023

Transaction Type: Withdraw, Account Number: 2, Amount: 1000, Time: Tue Mar 21 15:36:10 2023

Transaction Type: Deposit, Account Number: 1, Amount: 1000, Time: Tue Mar 21 15:37:19 2023

Transaction Type: Withdraw, Account Number: 2, Amount: 1000, Time: Tue Mar 21 15:44:32 2023

Transaction Type: Deposit, Account Number: 1, Amount: 1000, Time: Tue Mar 21 15:44:32 2023

Transaction Type: Withdraw, Account Number: 2, Amount: 10000, Time: Tue Mar 21 15:47:02 2023

Transaction Type: Deposit, Account Number: 1, Amount: 10000, Time: Tue Mar 21 15:47:02 2023

Transaction Type: Withdraw, Account Number: 1, Amount: 10000, Time: Tue Mar 21 15:51:44 2023

Transaction Type: Deposit, Account Number: 2, Amount: 10000, Time: Tue Mar 21 15:51:44 2023

Transaction Type: Withdraw, Account Number: 1, Amount: 100000, Time: Tue Mar 21 15:54:32 2023

Transaction Type: Deposit, Account Number: 2, Amount: 100000, Time: Tue Mar 21 15:54:32 2023

Transaction Type: Withdraw, Account Number: 2, Amount: 100000, Time: Tue Mar 21 16:00:45 2023

Transaction Type: Deposit, Account Number: 1, Amount: 100000, Time: Tue Mar 21 16:00:45 2023

Transaction Type: Withdraw, Account Number: 2, Amount: 5000, Time: Tue Mar 21 16:06:51 2023

Transaction Type: Withdraw, Account Number: 2, Amount: 1000, Time: Tue Mar 21 16:07:38 2023

Transaction Type: Withdraw, Account Number: 2, Amount: 1000, Time: Tue Mar 21 16:11:29 2023

Transaction Type: Deposit, Account Number: 1, Amount: 1000, Time: Tue Mar 21 16:11:29 2023

Transaction Type: Withdraw, Account Number: 1, Amount: 5000, Time: Tue Mar 21 16:12:48 2023

Transaction Type: Deposit, Account Number: 2, Amount: 5000, Time: Tue Mar 21 16:12:48 2023

Transaction Type: Withdraw, Account Number: 3, Amount: 10000, Time: Tue Mar 21 18:40:08 2023

Transaction Type: Deposit, Account Number: 2, Amount: 10000, Time: Tue Mar 21 18:40:08 2023

Transaction Type: Withdraw, Account Number: 3, Amount: 30000, Time: Tue Mar 21 18:40:45 2023

Transaction Type: Deposit, Account Number: 1, Amount: 30000, Time: Tue Mar 21 18:40:45 2023

Transaction Type: Withdraw, Account Number: 3, Amount: 10000, Time: Tue Mar 21 18:46:02 2023

Transaction Type: Deposit, Account Number: 1, Amount: 10000, Time: Tue Mar 21 18:46:02 2023

Transaction Type: Withdraw, Account Number: 2, Amount: 1000, Time: Wed Mar 22 07:29:19 2023

Transaction Type: Deposit, Account Number: 1, Amount: 1000, Time: Wed Mar 22 07:29:19 2023

